Type of Credit,Bond Series,Ratings,BPA Sale Date,Series Original Final Maturity,Principal Amount at Issuance,Outstanding Fixed Rate Par,Outstanding Variable Rate Par,Outstanding Synthetic Fixed Par,Total Outstanding Par,TIC,Posted Date
Transportation Revenue Bonds,2019D,(A3/BBB+/A-/AA),11/07/2019,11/15/2048,241.74,241.74,0.00,0.00,241.74,0.0362,09/01/2022
Transportation Revenue Bonds,2019F BANS,(A3/BBB+/A-/AA),12/10/2019,11/15/2022,200.00,200.00,0.00,0.00,200.00,0.0145,09/01/2022
Transportation Revenue Bonds,2020A BANS,(A3/BBB+/A-/AA),01/08/2020,02/01/2023,1500.00,800.00,0.00,0.00,800.00,0.0132,09/01/2022
Transportation Revenue Bonds,2020A,(A3/BBB+/A-/AA),01/16/2020,11/15/2054,924.75,924.75,0.00,0.00,924.75,0.0346,09/01/2022
Transportation Revenue Bonds,2020B,(A3/BBB+/A-/AA),03/27/2020,11/15/2046,162.66,0.00,142.40,0.00,142.40,0.0189,09/01/2022
Transportation Revenue Bonds,2020C,(A3/BBB+/A-/AA),05/14/2020,11/15/2055,1725.00,1725.00,0.00,0.00,1725.00,0.0517,09/01/2022
Transportation Revenue Bonds,2020D,(A3/BBB+/A-/AA),09/18/2020,11/15/2050,900.00,900.00,0.00,0.00,900.00,0.0449,09/01/2022
Transportation Revenue Bonds,2020E,(A3/BBB+/A-/AA),11/13/2020,11/15/2045,419.92,419.92,0.00,0.00,419.92,0.0401,09/01/2022
Transportation Revenue Bonds,2021A,(A3/BBB+/A-/AA),02/12/2021,11/15/2050,700.00,700.00,0.00,0.00,700.00,0.0305,09/01/2022
Transportation Revenue Bonds,2010A,(A3/BBB+/A-/AA),01/13/2010,11/15/2039,363.94,363.94,0.00,0.00,363.94,0.0444,09/01/2022
Transportation Revenue Bonds,2009A,(A3/BBB+/A-/AA),10/15/2009,11/15/2039,502.32,342.49,0.00,0.00,342.49,0.0379,09/01/2022
Transportation Revenue Bonds,2008B,(A3/BBB+/A-/AA),02/21/2008,11/15/2030,487.53,46.50,0.00,0.00,46.50,0.0278,09/01/2022
Transportation Revenue Bonds,2006B,(A3/BBB+/A-/AA),12/20/2006,11/15/2036,717.73,72.64,0.00,0.00,72.64,0.0452,09/01/2022
Transportation Revenue Bonds,2005E,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,79.42,119.14,198.55,0.033,09/01/2022
Transportation Revenue Bonds,2005D,(A3/BBB+/A-/AA),11/02/2005,11/01/2035,250.00,0.00,0.00,198.52,198.52,0.042,09/01/2022
Transportation Revenue Bonds,2005B,(A3/BBB+/A-/AA),07/01/2005,11/15/2035,750.00,77.38,0.00,0.00,77.38,0.048,09/01/2022
Transportation Revenue Bonds,2003A,(A3/BBB+/A-/AA),05/14/2003,11/15/2032,475.34,34.98,0.00,0.00,34.98,0.0449,09/01/2022
Transportation Revenue Bonds,2002G,(A3/BBB+/A-/AA),11/20/2002,11/01/2026,400.00,0.00,16.79,64.27,81.06,0.0361,09/01/2022
Transportation Revenue Bonds,2002D,(A3/BBB+/A-/AA),05/30/2002,11/01/2032,400.00,99.49,0.00,200.00,299.49,0.0468,09/01/2022
Dedicated Tax Fund Bonds,2017B,(NAF/AA/AA/NAF),05/17/2017,11/15/2057,680.26,678.16,0.00,0.00,678.16,0.0356,09/01/2022
Dedicated Tax Fund Bonds,2017A,(NAF/AA/AA/NAF),02/23/2017,11/15/2047,312.82,300.12,0.00,0.00,300.12,0.0397,09/01/2022
Dedicated Tax Fund Bonds,2016B,(NAF/AA/AA/NAF),05/26/2016,11/15/2056,588.30,565.97,0.00,0.00,565.97,0.0337,09/01/2022
Dedicated Tax Fund Bonds,2016A,(NAF/AA/AA/NAF),03/10/2016,11/15/2036,579.96,543.02,0.00,0.00,543.02,0.0298,09/01/2022
Dedicated Tax Fund Bonds,2012A,(NAF/AA/AA/NAF),10/25/2012,11/15/2032,959.47,885.53,0.00,0.00,885.53,0.0307,09/01/2022
Dedicated Tax Fund Bonds,2010A,(NAF/AA/AA/NAF),03/25/2010,11/15/2040,502.99,400.40,0.00,0.00,400.40,0.0391,09/01/2022
Dedicated Tax Fund Bonds,2009C,(NAF/AA/AA/NAF),04/30/2009,11/15/2039,750.00,750.00,0.00,0.00,750.00,0.0489,09/01/2022
TBTA General Revenue Bonds,2018E Taxable,(Aa3/AA-/AA-/AA),12/12/2018,11/15/2032,148.47,0.00,13.26,135.21,148.47,0.0391,09/01/2022
TBTA General Revenue Bonds,2019A,(Aa3/AA-/AA-/AA),05/23/2019,11/15/2049,150.00,150.00,0.00,0.00,150.00,0.0371,09/01/2022
TBTA General Revenue Bonds,2019B Taxable,(Aa3/AA-/AA-/AA),09/25/2019,11/15/2044,102.46,102.46,0.00,0.00,102.46,0.0349,09/01/2022
TBTA General Revenue Bonds,2019C,(Aa3/AA-/AA-/AA),12/03/2019,11/15/2048,200.00,200.00,0.00,0.00,200.00,0.0304,09/01/2022
TBTA General Revenue Bonds,2020A,(Aa3/AA-/AA-/AA),05/27/2020,11/15/2054,525.00,525.00,0.00,0.00,525.00,0.0364,09/01/2022
TBTA General Revenue Bonds,2021A,(Aa3/AA-/AA-/AA),03/31/2021,11/15/2056,400.00,400.00,0.00,0.00,400.00,0.0356,09/01/2022
TBTA General Revenue Bonds,2013B,(Aa3/AA-/AA-/AA),01/29/2013,11/15/2030,257.20,142.54,0.00,0.00,142.54,0.0225,09/01/2022
TBTA General Revenue Bonds,2022A,(Aa3/AA-/AA-/AA),08/18/2022,11/15/2057,400.00,400.00,0.00,0.00,400.00,0.0436,09/01/2022
TBTA Subordinate Revenue Bonds,2013D Taxable,(A1/A+/A+/AA-),12/19/2013,11/15/2032,313.98,83.26,0.00,0.00,83.26,0.0389,09/01/2022
TBTA Second Subordinate BANs,2021A BANS,(A1/NAF/A+/NAF),06/10/2021,11/01/2025,192.84,192.84,0.00,0.00,192.84,0.0069,09/01/2022
Dedicated Tax Fund Bonds,2002B,(NAF/AA/AA/NAF),09/05/2002,11/01/2022,440.00,56.38,0.00,0.00,56.38,0.0058,09/01/2022
Dedicated Tax Fund Bonds,2008A,(NAF/AA/AA/NAF),06/25/2008,11/01/2031,352.92,0.00,4.29,281.45,285.74,0.0394,09/01/2022
TBTA General Revenue Bonds,2013C,(Aa3/AA-/AA-/AA),04/18/2013,11/15/2043,200.00,137.54,0.00,0.00,137.54,0.0371,09/01/2022
TBTA General Revenue Bonds,2014A,(Aa3/AA-/AA-/AA),02/06/2014,11/15/2044,250.00,180.98,0.00,0.00,180.98,0.0428,09/01/2022
TBTA General Revenue Bonds,2015A,(Aa3/AA-/AA-/AA),05/15/2015,11/15/2050,225.00,186.41,0.00,0.00,186.41,0.0418,09/01/2022
TBTA General Revenue Bonds,2015B,(Aa3/AA-/AA-/AA),11/16/2015,11/15/2045,65.00,57.54,0.00,0.00,57.54,0.0388,09/01/2022
TBTA General Revenue Bonds,2016A,(Aa3/AA-/AA-/AA),01/28/2016,11/15/2046,541.24,491.82,0.00,0.00,491.82,0.0324,09/01/2022
TBTA General Revenue Bonds,2017A,(Aa3/AA-/AA-/AA),01/19/2017,11/15/2047,300.00,300.00,0.00,0.00,300.00,0.0371,09/01/2022
TBTA General Revenue Bonds,2017B,(Aa3/AA-/AA-/AA),01/19/2017,11/15/2038,902.98,902.98,0.00,0.00,902.98,0.0348,09/01/2022
TBTA General Revenue Bonds,2017C,(Aa3/AA-/AA-/AA),11/17/2017,11/15/2042,720.99,720.99,0.00,0.00,720.99,0.0281,09/01/2022
TBTA General Revenue Bonds,2018A,(Aa3/AA-/AA-/AA),02/01/2018,11/15/2048,351.93,351.93,0.00,0.00,351.93,0.0384,09/01/2022
TBTA General Revenue Bonds,2018B,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2031,270.09,270.09,0.00,0.00,270.09,0.0275,09/01/2022
Dedicated Tax Fund Bonds,2008B,(NAF/AA/AA/NAF),08/07/2008,11/01/2034,348.18,170.80,44.74,0.00,215.54,0.0282,09/01/2022
Payroll Mobility Tax Obligations,2021C,(NAF/AA+/AA+/AA+),09/30/2021,05/15/2051,853.63,848.22,0.00,0.00,848.22,0.0288,09/01/2022
Payroll Mobility Tax Obligations,2021B,(NAF/AA+/AA+/AA+),08/31/2021,05/15/2056,369.20,369.20,0.00,0.00,369.20,0.0353,09/01/2022
Payroll Mobility Tax Obligations,2020A BANS,(NAF/AA+/AA+/AA+),12/17/2020,12/15/2023,2907.28,2907.28,0.00,0.00,2907.28,0.0136,09/01/2022
Payroll Mobility Tax Obligations,2021A,(NAF/AA+/AA+/AA+),05/05/2021,05/15/2051,1238.21,1238.21,0.00,0.00,1238.21,0.0202,09/01/2022
Transportation Revenue Bonds,2014D,(A3/BBB+/A-/AA),11/04/2014,11/15/2044,500.00,295.46,165.00,0.00,460.46,0.0312,09/01/2022
Payroll Mobility Tax Obligations,2022C,(NAF/AA+/AA+/AA+),05/12/2022,05/15/2057,927.95,927.95,0.00,0.00,927.95,0.0448,09/01/2022
Payroll Mobility Tax Obligations,2022A BANS,(NAF/AA+/AA+/AA+),09/01/2022,08/15/2024,951.37,951.37,0.00,0.00,951.37,0.0241,09/01/2022
Sales Tax Revenue Bonds,2022A,(NAF/AA+/AAA/NAF),07/20/2022,05/15/2062,700.00,700.00,0.00,0.00,700.00,0.0438,09/01/2022
Transportation Revenue Bonds,2015A,(A3/BBB+/A-/AA),01/22/2015,11/15/2045,850.00,741.48,0.00,0.00,741.48,0.0413,09/01/2022
Transportation Revenue Bonds,2015B,(A3/BBB+/A-/AA),03/19/2015,11/15/2055,275.06,248.95,0.00,0.00,248.95,0.0429,09/01/2022
Transportation Revenue Bonds,2015C,(A3/BBB+/A-/AA),08/18/2015,11/15/2035,550.00,477.11,0.00,0.00,477.11,0.0368,09/01/2022
TBTA General Revenue Bonds,2001C,(Aa3/AA-/AA-/AA),12/19/2001,01/01/2032,148.20,0.00,74.42,8.00,82.42,0.0221,09/01/2022
TBTA General Revenue Bonds,2002F,(Aa3/AA-/AA-/AA),11/13/2002,11/01/2032,246.48,111.18,0.00,0.00,111.18,0.0118,09/01/2022
TBTA General Revenue Bonds,2003B,(Aa3/AA-/AA-/AA),12/10/2003,01/01/2033,250.00,0.00,77.16,50.90,128.06,0.0237,09/01/2022
TBTA General Revenue Bonds,2005A,(Aa3/AA-/AA-/AA),05/11/2005,11/01/2041,150.00,0.00,84.38,17.69,102.07,0.0198,09/01/2022
Transportation Revenue Bonds,2012A,(A3/BBB+/A-/AA),03/15/2012,11/15/2042,150.00,50.00,100.00,0.00,150.00,0.0221,09/01/2022
Transportation Revenue Bonds,2011B,(A3/BBB+/A-/AA),09/14/2011,11/01/2041,99.56,0.00,9.80,89.76,99.56,0.0371,09/01/2022
TBTA General Revenue Bonds,2005B,(Aa3/AA-/AA-/AA),07/07/2005,01/01/2032,800.00,0.00,0.00,558.30,558.30,0.0368,09/01/2022
TBTA General Revenue Bonds,2008B,(Aa3/AA-/AA-/AA),03/27/2008,11/15/2038,252.23,156.12,0.00,0.00,156.12,0.028,09/01/2022
TBTA General Revenue Bonds,2009A,(Aa3/AA-/AA-/AA),02/18/2009,11/15/2038,475.00,62.70,0.00,0.00,62.70,0.0325,09/01/2022
Transportation Revenue Bonds,2015D,(A3/BBB+/A-/AA),09/17/2015,11/15/2035,407.70,287.54,0.00,0.00,287.54,0.0367,09/01/2022
Transportation Revenue Bonds,2015E,(A3/BBB+/A-/AA),09/10/2015,11/15/2050,650.00,0.00,496.19,0.00,496.19,0.0152,09/01/2022
Transportation Revenue Bonds,2015F,(A3/BBB+/A-/AA),12/17/2015,11/15/2036,330.43,275.10,0.00,0.00,275.10,0.0321,09/01/2022
Transportation Revenue Bonds,2016A,(A3/BBB+/A-/AA),02/25/2016,11/15/2056,782.52,682.16,0.00,0.00,682.16,0.0354,09/01/2022
Transportation Revenue Bonds,2016B,(A3/BBB+/A-/AA),06/30/2016,11/15/2037,673.99,543.65,0.00,0.00,543.65,0.029,09/01/2022
Transportation Revenue Bonds,2016C,(A3/BBB+/A-/AA),07/28/2016,11/15/2056,863.86,564.10,0.00,0.00,564.10,0.0352,09/01/2022
Transportation Revenue Bonds,2016D,(A3/BBB+/A-/AA),10/26/2016,11/15/2035,645.66,440.30,0.00,0.00,440.30,0.0287,09/01/2022
State Service Contract Bonds,2002A,(AA/AA),06/05/2002,07/01/2031,0.00,0.00,0.00,0.00,0.00,0,09/01/2022
Hudson Rail Yards Trust Obligations,2016A,(A3/NAF/NAF/A-),09/22/2016,11/15/2056,1057.43,682.43,0.00,0.00,682.43,0.0428,09/01/2022
Hudson Rail Yards Trust Obligations,2020A,(A3/NAF/NAF/A-),03/27/2020,11/15/2046,162.66,128.06,0.00,0.00,128.06,0.0428,09/01/2022
TBTA General Revenue Bonds,2009B,(Aa3/AA-/AA-/AA),09/17/2009,11/15/2039,200.00,200.00,0.00,0.00,200.00,0.0363,09/01/2022
TBTA General Revenue Bonds,2010A,(Aa3/AA-/AA-/AA),10/28/2010,11/15/2040,346.96,271.89,0.00,0.00,271.89,0.0345,09/01/2022
TBTA General Revenue Bonds,2012A,(Aa3/AA-/AA-/AA),06/06/2012,11/15/2042,231.49,156.84,0.00,0.00,156.84,0.0369,09/01/2022
TBTA General Revenue Bonds,2012B,(Aa3/AA-/AA-/AA),08/23/2012,11/15/2032,1236.90,763.19,0.00,0.00,763.19,0.0266,09/01/2022
TBTA General Revenue Bonds,2018C,(Aa3/AA-/AA-/AA),08/30/2018,11/15/2038,159.28,159.28,0.00,0.00,159.28,0.0366,09/01/2022
TBTA General Revenue Bonds,2018D,(Aa3/AA-/AA-/AA),10/04/2018,11/15/2038,125.00,98.98,0.00,0.00,98.98,0.0258,09/01/2022
Transportation Revenue Bonds,2017A,(A3/BBB+/A-/AA),03/16/2017,11/15/2057,325.58,316.42,0.00,0.00,316.42,0.0377,09/01/2022
Transportation Revenue Bonds,2017B,(A3/BBB+/A-/AA),09/28/2017,11/15/2028,662.02,629.08,0.00,0.00,629.08,0.0198,09/01/2022
Transportation Revenue Bonds,2017C,(A3/BBB+/A-/AA),12/14/2017,11/15/2040,2021.46,2172.94,0.00,0.00,2172.94,0.0312,09/01/2022
Transportation Revenue Bonds,2017D,(A3/BBB+/A-/AA),12/21/2017,11/15/2047,643.10,643.10,0.00,0.00,643.10,0.0351,09/01/2022
Payroll Mobility Tax Obligations,2022B,(NAF/AA+/AA+/AA+),08/18/2022,05/15/2042,1000.02,1000.02,0.00,0.00,1000.02,0.0282,09/01/2022
Payroll Mobility Tax Obligations,2022A,(NAF/AA+/AA+/AA+),02/10/2022,05/15/2057,592.68,592.68,0.00,0.00,592.68,0.0318,09/01/2022
Dedicated Tax Fund Bonds,2022A,(NAF/AA/AA/NAF),03/01/2022,11/15/2052,377.96,377.96,0.00,0.00,377.96,0.0327,09/01/2022
Transportation Revenue Bonds,2010E,(A3/BBB+/A-/AA),12/29/2010,11/15/2040,750.00,582.35,0.00,0.00,582.35,0.0457,09/01/2022
Transportation Revenue Bonds,2010C,(A3/BBB+/A-/AA),07/07/2010,11/15/2040,510.48,396.30,0.00,0.00,396.30,0.0427,09/01/2022
Transportation Revenue Bonds,2010B,(A3/BBB+/A-/AA),02/11/2010,11/15/2039,656.98,561.08,0.00,0.00,561.08,0.0429,09/01/2022
TBTA General Revenue Bonds,2017B,(Aa3/AA-/AA-/AA),01/19/2017,11/15/2038,902.98,902.98,0.00,0.00,902.98,0.0348,07/12/2022
Transportation Revenue Bonds,2021A,(A3/BBB+/A-/AA),02/12/2021,11/15/2050,700.00,700.00,0.00,0.00,700.00,0.0305,07/12/2022
Transportation Revenue Bonds,2020E,(A3/BBB+/A-/AA),11/13/2020,11/15/2045,419.92,419.92,0.00,0.00,419.92,0.0401,07/12/2022
Transportation Revenue Bonds,2020D,(A3/BBB+/A-/AA),09/18/2020,11/15/2050,900.00,900.00,0.00,0.00,900.00,0.0449,07/12/2022
Transportation Revenue Bonds,2020C,(A3/BBB+/A-/AA),05/14/2020,11/15/2055,1725.00,1725.00,0.00,0.00,1725.00,0.0517,07/12/2022
Transportation Revenue Bonds,2020B,(A3/BBB+/A-/AA),03/27/2020,11/15/2046,162.66,0.00,142.40,0.00,142.40,0.0176,07/12/2022
Transportation Revenue Bonds,2020A,(A3/BBB+/A-/AA),01/16/2020,11/15/2054,924.75,924.75,0.00,0.00,924.75,0.0346,07/12/2022
Transportation Revenue Bonds,2020A BANS,(A3/BBB+/A-/AA),01/08/2020,02/01/2023,1500.00,800.00,0.00,0.00,800.00,0.0132,07/12/2022
Transportation Revenue Bonds,2019F BANS,(A3/BBB+/A-/AA),12/10/2019,11/15/2022,200.00,200.00,0.00,0.00,200.00,0.0145,07/12/2022
Transportation Revenue Bonds,2019D,(A3/BBB+/A-/AA),11/07/2019,11/15/2048,241.74,241.74,0.00,0.00,241.74,0.0362,07/12/2022
TBTA General Revenue Bonds,2009B,(Aa3/AA-/AA-/AA),09/17/2009,11/15/2039,200.00,200.00,0.00,0.00,200.00,0.0363,07/12/2022
TBTA General Revenue Bonds,2009A,(Aa3/AA-/AA-/AA),02/18/2009,11/15/2038,475.00,62.70,0.00,0.00,62.70,0.0325,07/12/2022
Transportation Revenue Bonds,2016B,(A3/BBB+/A-/AA),06/30/2016,11/15/2037,673.99,543.65,0.00,0.00,543.65,0.029,07/12/2022
Transportation Revenue Bonds,2016A,(A3/BBB+/A-/AA),02/25/2016,11/15/2056,782.52,682.16,0.00,0.00,682.16,0.0354,07/12/2022
Transportation Revenue Bonds,2015F,(A3/BBB+/A-/AA),12/17/2015,11/15/2036,330.43,275.10,0.00,0.00,275.10,0.0321,07/12/2022
Transportation Revenue Bonds,2015E,(A3/BBB+/A-/AA),09/10/2015,11/15/2050,650.00,0.00,496.19,0.00,496.19,0.0157,07/12/2022
Transportation Revenue Bonds,2015D,(A3/BBB+/A-/AA),09/17/2015,11/15/2035,407.70,287.54,0.00,0.00,287.54,0.0367,07/12/2022
Transportation Revenue Bonds,2015C,(A3/BBB+/A-/AA),08/18/2015,11/15/2035,550.00,477.11,0.00,0.00,477.11,0.0368,07/12/2022
Transportation Revenue Bonds,2015B,(A3/BBB+/A-/AA),03/19/2015,11/15/2055,275.06,248.95,0.00,0.00,248.95,0.0429,07/12/2022
Transportation Revenue Bonds,2015A,(A3/BBB+/A-/AA),01/22/2015,11/15/2045,850.00,741.48,0.00,0.00,741.48,0.0413,07/12/2022
Transportation Revenue Bonds,2014D,(A3/BBB+/A-/AA),11/04/2014,11/15/2044,500.00,295.46,165.00,0.00,460.46,0.0311,07/12/2022
Dedicated Tax Fund Bonds,2022A,(NAF/AA/AA/NAF),03/01/2022,11/15/2052,377.96,377.96,0.00,0.00,377.96,0.0327,07/12/2022
Payroll Mobility Tax Obligations,2020A BANS,(NAF/AA+/AA+/AA+),12/17/2020,12/15/2023,2907.28,2907.28,0.00,0.00,2907.28,0.0136,07/12/2022
Payroll Mobility Tax Obligations,2021A,(NAF/AA+/AA+/AA+),05/05/2021,05/15/2051,1238.21,1238.21,0.00,0.00,1238.21,0.0202,07/12/2022
Payroll Mobility Tax Obligations,2021B,(NAF/AA+/AA+/AA+),08/31/2021,05/15/2056,369.20,369.20,0.00,0.00,369.20,0.0353,07/12/2022
Payroll Mobility Tax Obligations,2021C,(NAF/AA+/AA+/AA+),09/30/2021,05/15/2051,853.63,848.22,0.00,0.00,848.22,0.0288,07/12/2022
Payroll Mobility Tax Obligations,2022A,(NAF/AA+/AA+/AA+),02/10/2022,05/15/2057,592.68,592.68,0.00,0.00,592.68,0.0318,07/12/2022
Payroll Mobility Tax Obligations,2022C,(NAF/AA+/AA+/AA+),05/12/2022,05/15/2057,927.95,927.95,0.00,0.00,927.95,0.0448,07/12/2022
State Service Contract Bonds,2002A,(AA/AA),06/05/2002,07/01/2031,0.00,0.00,0.00,0.00,0.00,0,07/12/2022
Hudson Rail Yards Trust Obligations,2016A,(A3/NAF/NAF/A-),09/22/2016,11/15/2056,1057.43,682.43,0.00,0.00,682.43,0.0428,07/12/2022
Hudson Rail Yards Trust Obligations,2020A,(A3/NAF/NAF/A-),03/27/2020,11/15/2046,162.66,142.40,0.00,0.00,142.40,0.0428,07/12/2022
Transportation Revenue Bonds,2016C,(A3/BBB+/A-/AA),07/28/2016,11/15/2056,863.86,564.10,0.00,0.00,564.10,0.0352,07/12/2022
Transportation Revenue Bonds,2016D,(A3/BBB+/A-/AA),10/26/2016,11/15/2035,645.66,440.30,0.00,0.00,440.30,0.0287,07/12/2022
Transportation Revenue Bonds,2017A,(A3/BBB+/A-/AA),03/16/2017,11/15/2057,325.58,316.42,0.00,0.00,316.42,0.0377,07/12/2022
Transportation Revenue Bonds,2017B,(A3/BBB+/A-/AA),09/28/2017,11/15/2028,662.02,629.08,0.00,0.00,629.08,0.0198,07/12/2022
Transportation Revenue Bonds,2017C,(A3/BBB+/A-/AA),12/14/2017,11/15/2040,2021.46,2172.94,0.00,0.00,2172.94,0.0312,07/12/2022
Transportation Revenue Bonds,2017D,(A3/BBB+/A-/AA),12/21/2017,11/15/2047,643.10,643.10,0.00,0.00,643.10,0.0351,07/12/2022
TBTA General Revenue Bonds,2015A,(Aa3/AA-/AA-/AA),05/15/2015,11/15/2050,225.00,186.41,0.00,0.00,186.41,0.0418,07/12/2022
TBTA General Revenue Bonds,2014A,(Aa3/AA-/AA-/AA),02/06/2014,11/15/2044,250.00,180.98,0.00,0.00,180.98,0.0428,07/12/2022
TBTA General Revenue Bonds,2013C,(Aa3/AA-/AA-/AA),04/18/2013,11/15/2043,200.00,137.54,0.00,0.00,137.54,0.0371,07/12/2022
TBTA General Revenue Bonds,2013B,(Aa3/AA-/AA-/AA),01/29/2013,11/15/2030,257.20,142.54,0.00,0.00,142.54,0.0225,07/12/2022
TBTA General Revenue Bonds,2012B,(Aa3/AA-/AA-/AA),08/23/2012,11/15/2032,1236.90,763.19,0.00,0.00,763.19,0.0266,07/12/2022
TBTA General Revenue Bonds,2012A,(Aa3/AA-/AA-/AA),06/06/2012,11/15/2042,231.49,156.84,0.00,0.00,156.84,0.0369,07/12/2022
TBTA General Revenue Bonds,2010A,(Aa3/AA-/AA-/AA),10/28/2010,11/15/2040,346.96,271.89,0.00,0.00,271.89,0.0345,07/12/2022
Transportation Revenue Bonds,2014C,(A3/BBB+/A-/AA),06/26/2014,11/15/2036,500.00,223.18,0.00,0.00,223.18,0.0332,07/12/2022
Transportation Revenue Bonds,2014B,(A3/BBB+/A-/AA),04/17/2014,11/15/2044,500.00,369.30,0.00,0.00,369.30,0.0438,07/12/2022
Transportation Revenue Bonds,2014A,(A3/BBB+/A-/AA),02/28/2014,11/15/2044,400.00,198.90,0.00,0.00,198.90,0.0431,07/12/2022
Transportation Revenue Bonds,2013E,(A3/BBB+/A-/AA),11/15/2013,11/15/2043,500.00,308.39,0.00,0.00,308.39,0.0464,07/12/2022
Transportation Revenue Bonds,2013D,(A3/BBB+/A-/AA),07/11/2013,11/15/2043,333.79,176.20,0.00,0.00,176.20,0.0463,07/12/2022
Transportation Revenue Bonds,2013C,(A3/BBB+/A-/AA),06/11/2013,11/15/2043,500.00,286.36,0.00,0.00,286.36,0.0425,07/12/2022
Transportation Revenue Bonds,2013B,(A3/BBB+/A-/AA),04/02/2013,11/15/2043,500.00,287.34,0.00,0.00,287.34,0.0408,07/12/2022
Transportation Revenue Bonds,2013A,(A3/BBB+/A-/AA),01/24/2013,11/15/2043,500.00,257.78,0.00,0.00,257.78,0.0379,07/12/2022
TBTA General Revenue Bonds,2018A,(Aa3/AA-/AA-/AA),02/01/2018,11/15/2048,351.93,351.93,0.00,0.00,351.93,0.0384,07/12/2022
Transportation Revenue Bonds,2012H,(A3/BBB+/A-/AA),11/15/2012,11/15/2042,350.00,198.51,0.00,0.00,198.51,0.037,07/12/2022
Transportation Revenue Bonds,2012G,(A3/BBB+/A-/AA),11/13/2012,11/01/2032,359.45,0.00,0.00,355.52,355.52,0.0431,07/12/2022
Transportation Revenue Bonds,2012F,(A3/BBB+/A-/AA),09/28/2012,11/15/2030,1268.44,831.14,0.00,0.00,831.14,0.0317,07/12/2022
TBTA General Revenue Bonds,2017C,(Aa3/AA-/AA-/AA),11/17/2017,11/15/2042,720.99,720.99,0.00,0.00,720.99,0.0281,07/12/2022
Transportation Revenue Bonds,2012E,(A3/BBB+/A-/AA),07/20/2012,11/15/2042,650.00,265.52,0.00,0.00,265.52,0.0391,07/12/2022
Transportation Revenue Bonds,2012D,(A3/BBB+/A-/AA),08/20/2012,11/15/2032,1263.36,515.53,0.00,0.00,515.53,0.0351,07/12/2022
Transportation Revenue Bonds,2012C,(A3/BBB+/A-/AA),05/03/2012,11/15/2047,727.43,371.72,0.00,0.00,371.72,0.0422,07/12/2022
Transportation Revenue Bonds,2012B,(A3/BBB+/A-/AA),03/15/2012,11/15/2039,250.00,177.38,0.00,0.00,177.38,0.0385,07/12/2022
Transportation Revenue Bonds,2018A,(A3/BBB+/A-/AA),01/23/2018,11/15/2048,472.31,277.61,0.00,0.00,277.61,0.0191,07/12/2022
Transportation Revenue Bonds,2018B,(A3/BBB+/A-/AA),08/23/2018,11/15/2028,207.22,177.89,0.00,0.00,177.89,0.0271,07/12/2022
Transportation Revenue Bonds,2019A,(A3/BBB+/A-/AA),02/06/2019,11/15/2048,454.15,454.15,0.00,0.00,454.15,0.0416,07/12/2022
Transportation Revenue Bonds,2019B,(A3/BBB+/A-/AA),05/14/2019,11/15/2052,177.18,177.18,0.00,0.00,177.18,0.0383,07/12/2022
Transportation Revenue Bonds,2019C,(A3/BBB+/A-/AA),08/14/2019,11/15/2049,422.43,422.43,0.00,0.00,422.43,0.0339,07/12/2022
Transportation Revenue Bonds,2019D BANS,(A3/BBB+/A-/AA),09/06/2019,09/01/2022,1200.00,1000.00,0.00,0.00,1000.00,0.0133,07/12/2022
Dedicated Tax Fund Bonds,2012A,(NAF/AA/AA/NAF),10/25/2012,11/15/2032,959.47,885.53,0.00,0.00,885.53,0.0307,07/12/2022
Dedicated Tax Fund Bonds,2010A,(NAF/AA/AA/NAF),03/25/2010,11/15/2040,502.99,400.40,0.00,0.00,400.40,0.0391,07/12/2022
Dedicated Tax Fund Bonds,2009C,(NAF/AA/AA/NAF),04/30/2009,11/15/2039,750.00,750.00,0.00,0.00,750.00,0.0489,07/12/2022
Dedicated Tax Fund Bonds,2008B,(NAF/AA/AA/NAF),08/07/2008,11/01/2034,348.18,170.80,44.74,0.00,215.54,0.0282,07/12/2022
Dedicated Tax Fund Bonds,2008A,(NAF/AA/AA/NAF),06/25/2008,11/01/2031,352.92,0.00,4.29,281.45,285.74,0.0395,07/12/2022
Dedicated Tax Fund Bonds,2002B,(NAF/AA/AA/NAF),09/05/2002,11/01/2022,440.00,56.38,0.00,0.00,56.38,0.0058,07/12/2022
TBTA Second Subordinate BANs,2021A BANS,(A1/NAF/A+/NAF),06/10/2021,11/01/2025,192.84,192.84,0.00,0.00,192.84,0.0069,07/12/2022
TBTA Subordinate Revenue Bonds,2013D Taxable,(A1/A+/A+/AA-),12/19/2013,11/15/2032,313.98,83.26,0.00,0.00,83.26,0.0389,07/12/2022
TBTA Subordinate Revenue Bonds,2013A,(A1/A+/A+/AA-),01/29/2013,11/15/2032,653.96,712.26,0.00,0.00,712.26,0.0313,07/12/2022
Dedicated Tax Fund Bonds,2016A,(NAF/AA/AA/NAF),03/10/2016,11/15/2036,579.96,543.02,0.00,0.00,543.02,0.0298,07/12/2022
Dedicated Tax Fund Bonds,2016B,(NAF/AA/AA/NAF),05/26/2016,11/15/2056,588.30,565.97,0.00,0.00,565.97,0.0337,07/12/2022
